Category_item,Weight_kg,Volumetric_Weight_kg,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg_item,Material_ID,Material_Name,Category_material,Density_kg_m3,Tensile_Strength_MPa,Cost_per_kg,CO2_Emission_kg_material,Biodegradable,co2_impact_index,cost_efficiency_index,environmental_impact_score,material_suitability_score,sustainability_score,sustainability_rating,Item_Volume_m3
Clothing,0.83,1.54,4,FALSE,Road,791,Kraft Paper Mailer,1.42,0.609,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,86.44,8.5,7.27,31.48,1.403025942,C,0.00768
Electronics,18.34,6.29,10,TRUE,Road,760,Mushroom Pkg (Mycelium),9.34,6.969,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,62.43,86.78,13.59,3.37,7.662692593,A,0.031464
Clothing,1.01,1.21,4,FALSE,Road,751,Kraft Paper Mailer,1.28,0.454,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,86.25,7.32,7.38,31.48,1.190243741,C,0.006048
Clothing,0.91,1.56,3,FALSE,Air,1301,Kraft Paper Mailer,1.22,5.074,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,54.57,7.43,24.37,39.39,0.365859649,E,0.007812
Furniture,12.08,37.94,4,FALSE,Road,1575,Wood Crate,15.98,29.878,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,44.83,22.32,27.05,16.15,0.990166322,C,0.189696
Clothing,1.15,1.37,4,FALSE,Road,172,Kraft Paper Mailer,1.35,0.118,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,87.52,7.91,6.7,31.48,1.416716206,C,0.00684
Electronics,0.18,0,5,TRUE,Air,2651,Honeycomb Paper,1.07,1.193,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,80.65,1.6,9.12,18.57,0.210526293,E,0
Beauty,0.93,0.2,3,TRUE,Air,2575,PLA Bioplastic,0.97,5.987,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,49.29,13.33,28.86,49.94,0.554261935,D,0.001008
Furniture,55.47,289.66,5,FALSE,Road,2529,Wood Crate,116.86,366.275,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,6.78,29.33,45.7,13.44,0.770153156,D,1.448304
Clothing,0.98,1.17,4,FALSE,Road,235,Kraft Paper Mailer,1.27,0.137,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,88.63,7.11,6.1,31.48,1.398688295,C,0.005852
Clothing,0.18,0.19,1,FALSE,Air,1067,Kraft Paper Mailer,0.28,0.507,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,88.21,0.75,6.33,78.9,0.142180072,E,0.000966
Furniture,69.84,306.41,6,FALSE,Road,2262,Wood Crate,123.76,346.55,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,7.43,35.3,45.38,11.5,0.933450839,C,1.532034
Furniture,14.45,38.8,5,FALSE,Road,2048,Wood Crate,16.52,39.731,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,40.61,27.76,29.12,13.44,1.143956005,C,0.19398
Electronics,22.73,6.19,9,TRUE,Road,1616,Mushroom Pkg (Mycelium),10.89,18.366,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,50.86,82.99,17.78,3.72,5.601124544,A,0.030956
Home Decor,2.23,1.13,10,FALSE,Air,1203,Mushroom Pkg (Mycelium),2.89,6.707,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,51.11,33.69,17.69,2.79,2.285358831,B,0.005642
Home Decor,1.22,1.4,9,FALSE,Road,752,Mushroom Pkg (Mycelium),2.36,0.526,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,91.86,23.1,2.95,3.08,9.396606984,A,0.006975
Home Decor,2.68,1.34,10,FALSE,Road,239,Mushroom Pkg (Mycelium),3.07,0.32,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,91.35,38.2,3.13,2.79,14.64536273,A,0.00672
Home Decor,1.4,0.98,10,FALSE,Air,1767,Mushroom Pkg (Mycelium),2.56,6.184,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,53.16,23.68,16.95,2.79,1.676460078,B,0.004901
Beauty,0.31,0.04,10,TRUE,Air,1225,Bubble Wrap (LDPE),2.12,0.949,34,Standard Bubble Wrap (LDPE),Plastic,890,9.68,2.13,2.807,No,76.12,3.65,23.88,2.69,0.122278052,E,0.00018
Electronics,0.32,0.02,8,TRUE,Air,1243,Mushroom Pkg (Mycelium),1.73,0.994,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,83.64,5.91,5.92,4.15,1.197972771,C,9.00E-05
Electronics,2.01,0.22,7,TRUE,Road,143,Honeycomb Paper,2.2,0.144,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,85.26,16.68,6.94,13.9,2.88414944,B,0.00108
Clothing,1.44,3.18,3,TRUE,Air,1458,Kraft Paper Mailer,1.87,11.591,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,38.07,10.11,33.22,39.39,0.365201675,E,0.015876
Home Decor,2.06,1.22,10,FALSE,Air,1458,Mushroom Pkg (Mycelium),2.82,7.509,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,48.96,31.86,18.47,2.79,2.06995116,B,0.006076
Beauty,0.29,0.03,8,TRUE,Air,2161,Mushroom Pkg (Mycelium),1.72,1.567,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,77.86,5.33,8.01,4.15,0.798501773,D,0.000144
Electronics,1.95,0.26,7,TRUE,Air,2148,Honeycomb Paper,2.18,10.471,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,40.06,16.31,28.24,13.9,0.693059466,D,0.001302
Clothing,0.86,1.36,4,FALSE,Air,2491,Kraft Paper Mailer,1.34,8.469,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,45.33,7.91,29.33,31.48,0.323627674,E,0.006786
Furniture,16.58,4.56,9,FALSE,Road,1922,Mushroom Pkg (Mycelium),8.43,15.933,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,53.44,78.16,16.85,3.08,5.566290471,A,0.022816
Clothing,0.2,0.1,2,FALSE,Road,261,Kraft Paper Mailer,0.48,0.026,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,97.37,1.08,1.41,52.56,0.919148284,C,0.00052
Electronics,0.16,0,6,TRUE,Air,1407,Honeycomb Paper,1.26,0.563,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,88.33,1.39,5.5,15.9,0.303272672,E,2.00E-05
Electronics,16.23,6.06,10,TRUE,Road,2598,Mushroom Pkg (Mycelium),8.49,21.083,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,49.86,84.47,18.14,3.37,5.587871798,A,0.030284
Electronics,0.17,0.01,6,TRUE,Air,1456,Honeycomb Paper,1.27,0.619,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,87.45,1.5,5.91,15.9,0.304568476,E,2.50E-05
Furniture,11.48,33.28,5,FALSE,Road,2136,Wood Crate,14.31,35.543,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,42.49,27.48,28.19,13.44,1.169776475,C,0.16638
Electronics,0.2,0,6,TRUE,Air,954,Honeycomb Paper,1.28,0.477,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,89.13,1.86,5.12,15.9,0.435937415,D,1.60E-05
Clothing,1.98,3.76,4,TRUE,Air,1385,Kraft Paper Mailer,2.3,13.019,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,34.95,13.15,34.9,31.48,0.452148984,D,0.0188
Clothing,0.26,0.11,1,FALSE,Air,1188,Kraft Paper Mailer,0.3,0.772,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,83.79,1.15,8.7,78.9,0.158620671,E,0.000546
Electronics,0.2,0.02,9,TRUE,Air,1575,Mushroom Pkg (Mycelium),1.88,0.787,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,86.44,3.58,4.91,3.72,0.874948905,C,9.60E-05
Furniture,13.07,37.06,6,FALSE,Road,1693,Wood Crate,16.02,31.371,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,44.03,32.94,27.44,11.5,1.440524729,C,0.185318
Clothing,1.78,4.13,3,TRUE,Air,1943,Kraft Paper Mailer,2.25,20.061,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,26.55,10.97,39.4,39.39,0.334111667,E,0.02067
Electronics,0.17,0.01,6,TRUE,Air,2353,Honeycomb Paper,1.27,1,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,82.78,1.5,8.11,15.9,0.221948185,E,2.50E-05
Furniture,12.46,33.72,4,FALSE,Road,288,Wood Crate,14.29,4.856,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,65.18,22.18,17.07,16.15,1.559226622,B,0.168606
Electronics,0.31,0.02,8,TRUE,Road,168,Mushroom Pkg (Mycelium),1.72,0.026,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,99.41,5.74,0.21,4.15,32.79984381,A,9.80E-05
Home Decor,1.49,1.34,9,FALSE,Air,1598,Mushroom Pkg (Mycelium),2.4,5.953,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,53.86,24.21,16.7,3.08,1.739640614,B,0.00672
Clothing,1.83,4.2,4,TRUE,Air,2454,Kraft Paper Mailer,2.48,25.767,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,21.24,13.65,42.25,31.48,0.387692299,D,0.021
Furniture,61.21,271.65,6,FALSE,Road,667,Wood Crate,109.86,90.595,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,26.57,35.25,36,11.5,1.174999967,C,1.358248
Clothing,1.1,1.3,3,FALSE,Road,122,Kraft Paper Mailer,1.12,0.079,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,88.15,6.68,6.36,39.39,1.26037716,C,0.00651
Furniture,44.11,303.88,6,FALSE,Road,1862,Wood Crate,122.75,282.912,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,10.82,35.29,43.72,11.5,0.968618459,C,1.519392
Electronics,0.24,0,8,TRUE,Air,949,Mushroom Pkg (Mycelium),1.7,0.569,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,89.35,4.35,3.85,4.15,1.355843804,C,0
Clothing,0.17,0.08,1,FALSE,Air,2061,Kraft Paper Mailer,0.27,0.876,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,83.65,0.65,8.77,78.9,0.088939557,E,0.000418
Electronics,0.34,0.02,8,TRUE,Air,2850,Mushroom Pkg (Mycelium),1.74,2.423,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,71.11,6.28,10.45,4.15,0.721148256,D,0.000105
Furniture,13.45,35.57,6,FALSE,Road,2125,Wood Crate,15.43,37.793,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,41.41,32.82,28.72,11.5,1.371309144,C,0.17784
Home Decor,1.01,1.4,10,FALSE,Air,1064,Mushroom Pkg (Mycelium),2.56,3.724,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,63.01,23.68,13.38,2.79,2.123766657,B,0.006975
Beauty,0.58,0.2,4,TRUE,Road,391,PLA Bioplastic,1.03,0.113,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,88.09,10.29,6.78,39.92,1.821238669,B,0.00098
Furniture,42.11,252.1,6,FALSE,Road,2054,Wood Crate,102.04,258.907,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,12.19,35.22,43.05,11.5,0.981742137,C,1.260504
Clothing,0.86,1.25,3,FALSE,Air,863,Kraft Paper Mailer,1.1,2.697,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,64.64,6.53,18.97,39.39,0.413073252,D,0.006237
Electronics,1.76,0.11,9,TRUE,Air,1380,Mushroom Pkg (Mycelium),2.5,6.072,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,53.31,27.54,16.89,3.72,1.95666063,B,0.00057
Furniture,16.13,4.94,10,FALSE,Road,2081,Mushroom Pkg (Mycelium),8.45,16.783,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,52.85,84.34,17.06,2.79,5.932473275,A,0.02472
Electronics,0.34,0.02,7,TRUE,Air,1810,Honeycomb Paper,1.54,1.539,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,76.33,3.51,11.15,13.9,0.377757814,D,0.000105
Home Decor,2.61,1.22,9,FALSE,Air,1202,Mushroom Pkg (Mycelium),2.84,7.843,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,47.84,36.16,18.87,3.08,2.299522931,B,0.006075
Electronics,0.2,0.01,6,TRUE,Air,1494,Honeycomb Paper,1.28,0.747,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,85.49,1.86,6.84,15.9,0.326315742,E,2.50E-05
Electronics,0.14,0,6,TRUE,Air,836,Honeycomb Paper,1.26,0.293,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,92.72,1.13,3.43,15.9,0.395335162,D,0
Electronics,21.44,8.7,9,TRUE,Road,1111,Mushroom Pkg (Mycelium),10.38,11.91,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,56.16,82.12,15.86,3.72,6.213366569,A,0.04352
Electronics,2.18,0.11,8,TRUE,Air,1529,Mushroom Pkg (Mycelium),2.47,8.333,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,46.81,30.77,19.25,4.15,1.91812977,B,0.00057
Electronics,18.05,8.35,10,TRUE,Road,650,Mushroom Pkg (Mycelium),9.22,5.866,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,64.14,86.52,12.98,3.37,7.998766718,A,0.04176
Furniture,62.46,289.1,6,FALSE,Road,2609,Wood Crate,116.84,377.131,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,6.26,35.27,45.96,11.5,0.920887708,C,1.445488
Electronics,1.77,0.21,8,TRUE,Air,2232,Mushroom Pkg (Mycelium),2.31,9.877,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,43.48,26.62,20.45,4.15,1.562053713,B,0.001044
Electronics,23.49,7.88,10,TRUE,Road,2728,Mushroom Pkg (Mycelium),11.4,32.04,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,43.56,91.1,20.42,3.37,5.353574664,A,0.039375
Electronics,0.18,0,6,TRUE,Road,370,Honeycomb Paper,1.27,0.033,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,98.2,1.63,0.85,15.9,2.301173763,B,2.00E-05
Clothing,1.26,3.38,4,TRUE,Air,1348,Kraft Paper Mailer,2.15,11.391,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,38.73,12.62,32.87,31.48,0.46072405,D,0.01692
Clothing,1.18,4.01,4,TRUE,Air,2584,Kraft Paper Mailer,2.4,25.905,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,21.68,13.46,42.02,31.48,0.384388377,D,0.020034
Beauty,0.69,0.2,3,TRUE,Air,1217,PLA Bioplastic,0.88,2.099,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,65.52,10.78,19.62,49.94,0.659327184,D,0.00098
Electronics,2.36,0.25,9,TRUE,Road,631,Mushroom Pkg (Mycelium),2.74,0.745,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,88.43,33.85,4.19,3.72,9.694508426,A,0.00126
Clothing,0.98,1.34,4,FALSE,Road,689,Kraft Paper Mailer,1.34,0.462,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,86.4,7.78,7.3,31.48,1.278903934,C,0.006699
Beauty,0.23,0.04,9,TRUE,Road,326,Mushroom Pkg (Mycelium),1.89,0.037,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,99.46,4.2,0.2,3.72,25.199874,A,0.0002
Home Decor,1.19,1.06,10,FALSE,Road,610,Mushroom Pkg (Mycelium),2.48,0.363,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,93.46,20.69,2.37,2.79,10.47594495,A,0.005278
Clothing,1.57,3.24,4,TRUE,Air,1288,Kraft Paper Mailer,2.1,10.433,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,39.86,12.37,32.26,31.48,0.460136378,D,0.0162
Home Decor,2.39,1.39,9,FALSE,Road,266,Mushroom Pkg (Mycelium),2.76,0.318,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,91.84,34.03,2.95,3.08,13.84270717,A,0.006944
Furniture,19.52,5.4,10,FALSE,Road,1194,Mushroom Pkg (Mycelium),9.81,11.653,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,56.74,87.95,15.65,2.79,6.743769537,A,0.027
Furniture,77.08,338.35,7,FALSE,Road,2280,Wood Crate,136.74,385.719,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,5.76,41.27,46.2,10.05,1.071948029,C,1.69176
Beauty,0.45,0.04,9,TRUE,Road,791,Mushroom Pkg (Mycelium),1.98,0.178,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,97.02,8.43,1.08,3.72,9.366657994,A,0.000225
Furniture,44.37,279.68,7,FALSE,Road,280,Wood Crate,113.27,39.155,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,38,41.18,30.4,10.05,1.625526262,B,1.3984
Beauty,0.54,0.23,5,TRUE,Road,686,PLA Bioplastic,1.22,0.185,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,88.12,10.1,6.76,33.25,1.792899143,B,0.001152
Beauty,0.5,0.04,9,TRUE,Air,2741,Mushroom Pkg (Mycelium),2,3.426,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,64.97,9.34,12.68,3.72,0.883911602,C,0.0002
Electronics,1.58,0.12,7,TRUE,Road,65,Honeycomb Paper,2.03,0.051,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,87.95,14.11,5.68,13.9,2.980985391,B,0.0006
Electronics,0.14,0,6,TRUE,Air,1418,Honeycomb Paper,1.26,0.496,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,89.51,1.13,4.94,15.9,0.274493872,E,0
Beauty,0.44,0.04,10,TRUE,Road,196,PLA Bioplastic,2.18,0.043,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,90.69,9.15,5.3,18.08,2.071697722,B,0.0002
Electronics,1.97,0.26,9,TRUE,Air,1349,Mushroom Pkg (Mycelium),2.59,6.644,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,51.44,29.81,17.57,3.72,2.035970288,B,0.00128
Clothing,0.82,1.46,4,FALSE,Air,1589,Kraft Paper Mailer,1.38,5.8,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,52.52,8.27,25.47,31.48,0.389634849,D,0.007296
Beauty,0.87,0.2,4,TRUE,Air,2746,PLA Bioplastic,1.15,5.973,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,49.64,14.06,28.66,39.92,0.588695025,D,0.001008
Home Decor,1.93,1.02,9,FALSE,Road,264,Mushroom Pkg (Mycelium),2.57,0.255,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,93.21,29.42,2.46,3.08,14.35121368,A,0.005096
Furniture,18.72,5.17,10,FALSE,Road,613,Mushroom Pkg (Mycelium),9.49,5.738,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,64.15,87.18,12.97,2.79,8.065997836,A,0.025864
Beauty,0.58,0.22,4,TRUE,Air,2997,PLA Bioplastic,1.03,4.346,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,56.53,10.29,24.74,39.92,0.499110732,D,0.00112
Furniture,12.25,35.24,4,FALSE,Road,360,Wood Crate,14.9,6.343,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,62.96,22.23,18.16,16.15,1.46894265,B,0.176204
Electronics,2.2,0.23,9,TRUE,Air,2178,Mushroom Pkg (Mycelium),2.68,11.979,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,39.27,32.23,21.97,3.72,1.760400466,B,0.001152
Furniture,58.56,340.99,6,FALSE,Road,2282,Wood Crate,137.6,389.07,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,5.83,35.33,46.17,11.5,0.91825859,C,1.704969
Clothing,0.27,0.11,1,FALSE,Road,645,Kraft Paper Mailer,0.31,0.087,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,95.75,1.16,2.28,78.9,0.610526048,D,0.000546
Clothing,1.1,3.35,4,TRUE,Road,648,Kraft Paper Mailer,2.14,1.085,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,82.23,12.57,9.53,31.48,1.58279102,B,0.016758
Furniture,11.79,41.93,5,FALSE,Road,1574,Wood Crate,17.77,32.999,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,43.5,27.89,27.7,13.44,1.208231003,C,0.209664
Beauty,0.65,0.2,4,TRUE,Air,2159,PLA Bioplastic,1.06,3.508,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,59.27,11.27,23.18,39.92,0.58343397,D,0.00098
Furniture,49.34,306.71,7,FALSE,Road,894,Wood Crate,124.08,137.099,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,21.34,41.23,38.56,10.05,1.283091253,C,1.533548
Furniture,18.53,5.29,9,FALSE,Road,1297,Mushroom Pkg (Mycelium),9.21,12.017,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,56.56,79.97,15.72,3.08,6.104579764,A,0.02646
Electronics,19.05,9.6,10,TRUE,Road,1394,Mushroom Pkg (Mycelium),9.62,13.278,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,55.3,87.52,16.17,3.37,6.494990322,A,0.048
Clothing,1.36,3.95,4,TRUE,Road,764,Kraft Paper Mailer,2.38,1.509,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,79.16,13.36,11.18,31.48,1.433989138,C,0.019737
Electronics,0.13,0,5,TRUE,Air,838,Honeycomb Paper,1.05,0.272,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,93.21,1,3.2,18.57,0.374999883,D,2.00E-05
Electronics,2.3,0.11,7,TRUE,Air,2328,Honeycomb Paper,2.32,13.386,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,34.86,18.15,30.69,13.9,0.709677396,D,0.000558
Beauty,0.58,0.24,3,TRUE,Air,1774,PLA Bioplastic,0.83,2.572,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,64.14,9.53,20.41,49.94,0.560313544,D,0.001176
Beauty,0.64,0.24,3,TRUE,Air,1395,PLA Bioplastic,0.86,2.232,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,65.31,10.19,19.74,49.94,0.619452856,D,0.001216
Clothing,1.1,1.41,4,FALSE,Air,2738,Kraft Paper Mailer,1.36,9.651,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,42.27,8.09,30.97,31.48,0.313464633,E,0.007068
Clothing,0.94,1.17,4,FALSE,Air,1911,Kraft Paper Mailer,1.27,5.59,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,52.79,7.11,25.33,31.48,0.336833781,E,0.005852
Furniture,11.7,34.16,6,FALSE,Road,2808,Wood Crate,14.86,47.961,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,38.2,32.72,30.3,11.5,1.295841541,C,0.1708
Electronics,2.16,0.22,8,TRUE,Road,618,Mushroom Pkg (Mycelium),2.46,0.667,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,89.28,30.61,3.88,4.15,9.467007869,A,0.00108
Furniture,66.42,288.56,7,FALSE,Road,1769,Wood Crate,116.82,255.231,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,11.99,41.2,43.15,10.05,1.145770541,C,1.44279
Furniture,11.9,30.4,4,FALSE,Road,1054,Wood Crate,12.96,16.021,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,53.01,22.04,23.04,16.15,1.147916617,C,0.151984
Electronics,1.97,0.11,9,TRUE,Air,2825,Mushroom Pkg (Mycelium),2.59,13.913,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,36.14,29.81,23.11,3.72,1.547901274,B,0.00054
Furniture,13.67,4.95,10,FALSE,Road,2538,Mushroom Pkg (Mycelium),7.47,17.347,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,52.76,80.83,17.09,2.79,5.675599434,A,0.02475
Clothing,0.18,0.08,1,FALSE,Air,2685,Kraft Paper Mailer,0.27,1.208,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,80,0.73,10.73,78.9,0.081640253,E,0.000418
Furniture,13.91,34.29,4,FALSE,Road,2266,Corrugated Cardboard,14.52,38.851,114,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,37.86,12.86,31.94,3.99,0.483155902,D,0.171456
Electronics,2.32,0.22,9,TRUE,Road,584,Mushroom Pkg (Mycelium),2.73,0.677,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,88.98,33.39,3.99,3.72,10.04210275,A,0.00108
Clothing,1.96,3.24,3,TRUE,Air,2323,Kraft Paper Mailer,1.9,18.816,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,27.68,10.14,38.8,39.39,0.313608239,E,0.0162
Electronics,0.15,0.01,5,TRUE,Road,315,Honeycomb Paper,1.06,0.024,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,98.63,1.24,0.65,18.57,2.289227247,B,2.50E-05
Furniture,14.57,4.96,10,FALSE,Road,1570,Mushroom Pkg (Mycelium),7.83,11.437,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,57.86,82.2,15.25,2.79,6.468196297,A,0.024824
Furniture,16.42,5.66,9,FALSE,Road,1359,Mushroom Pkg (Mycelium),8.37,11.157,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,57.8,77.96,15.27,3.08,6.126522192,A,0.02832
Clothing,0.17,0.18,2,FALSE,Road,89,Kraft Paper Mailer,0.47,0.008,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,98.01,0.94,1.07,52.56,1.054204622,C,0.000924
