Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Thickness_Micrometers,Thermal_Stability_C,Biodegradability_Score,Recyclability_Percentage,CO2_Emission_Score,Environmental_Impact_Score
Recycled LDPE,75.36,114.82,235.8,181.88,81.03,65.06,73.43,88.77
Alginate,30.22,122.26,57.99,156.41,93.34,41.94,82.77,74.3
Cellulose Acetate,89.43,70.96,157.27,213.6,52.66,52.19,83.0,70.33
Polyhydroxyvalerate (PHV),70.52,31.39,84.48,170.26,61.52,58.2,54.2,73.84
Recycled PP,73.52,103.33,60.69,230.86,62.94,50.85,96.38,80.91
PHA (Polyhydroxyalkanoates),26.17,94.02,175.84,242.0,97.62,62.62,91.89,66.76
Polybutylene Adipate Terephthalate (PBAT),46.0,57.86,199.76,236.02,59.8,58.16,98.35,62.15
Mycelium-based Material,61.48,114.11,110.55,227.83,54.26,84.67,70.69,94.99
Recycled LDPE,74.95,123.45,28.88,160.03,77.89,94.45,84.65,85.64
Chitosan,15.98,79.31,109.35,191.3,77.61,38.86,61.9,49.32
Polybutylene Adipate Terephthalate (PBAT),91.98,80.15,140.07,232.95,92.59,87.98,91.62,40.36
Seaweed/Kelp-based Polymer,85.59,51.82,224.91,165.67,97.57,95.36,61.59,26.17
Blended Starch,30.71,82.13,169.35,247.11,78.08,78.69,69.13,27.46
Chitosan,79.62,66.83,181.97,223.1,96.67,99.76,76.68,61.99
Polybutylene Adipate Terephthalate (PBAT),52.67,52.32,62.62,204.0,86.95,54.78,81.43,52.44
Poly(3-hydroxybutyrate) (PHB),47.66,27.5,184.26,230.63,65.07,88.46,79.83,92.9
Gelatin,34.62,47.09,132.93,247.15,96.6,77.81,58.88,52.67
Hemp Fiber Composite,58.21,41.3,207.8,155.87,84.2,53.99,73.51,72.92
Polybutylene Succinate (PBS),71.4,77.64,65.85,215.89,72.17,79.92,96.47,69.21
Recycled PP,43.16,83.94,135.99,246.47,84.81,66.65,94.15,55.47
Polyhydroxyvalerate (PHV),62.48,84.67,64.23,182.5,71.56,44.85,81.26,39.88
Hemp Fiber Composite,68.69,61.4,82.19,208.98,57.92,43.82,80.41,20.8
Polylactic Acid (PLA) Blends,69.74,64.89,210.57,239.48,86.65,80.51,59.31,79.12
Chitosan,11.38,108.5,176.63,209.49,91.64,80.41,63.37,55.14
Blended Starch,82.89,70.7,186.19,169.75,87.12,68.09,65.77,30.64
Polylactic Acid (PLA) Blends,47.35,124.71,31.11,162.21,63.38,66.1,76.56,54.59
Seaweed/Kelp-based Polymer,30.01,66.83,186.26,174.65,97.94,44.24,87.7,40.67
Coconut Coir Composite,28.18,89.0,130.48,188.85,53.7,61.19,75.3,82.57
Polybutylene Adipate Terephthalate (PBAT),49.54,25.73,122.9,214.55,68.3,91.26,59.97,82.59
Hemp Fiber Composite,85.29,89.4,111.97,214.26,64.85,90.12,74.32,52.86
Recycled HDPE,40.28,110.31,215.17,163.97,54.79,76.94,61.65,66.92
Cellulose Acetate,73.15,119.92,56.7,154.37,71.77,99.82,88.6,60.42
Cellulose Acetate,15.35,125.72,206.32,157.01,82.1,92.74,61.83,42.87
Paper-based Composite,48.93,50.21,233.16,154.6,94.42,41.88,76.3,59.35
Starch-based Polymer,94.57,81.16,54.54,202.32,99.51,59.14,85.96,53.76
Alginate,74.99,68.0,249.91,188.52,90.88,40.97,64.65,34.48
Polybutylene Adipate Terephthalate (PBAT),25.42,79.94,247.78,181.77,74.76,63.69,57.68,84.16
Bagasse Fiber Composite,51.17,37.04,161.01,243.59,86.88,84.79,80.0,54.68
Natural Fiber Composite,27.46,110.81,78.11,203.7,92.57,42.59,56.68,40.56
Polyhydroxyvalerate (PHV),43.04,116.45,115.96,238.37,74.6,91.87,81.12,60.97
Polybutylene Fumarate (PBF),75.84,67.89,55.04,230.09,89.79,70.7,88.71,50.41
Cellulose Acetate,75.06,50.02,43.25,202.9,75.43,82.93,69.28,86.68
Chitosan,26.97,35.28,180.45,208.25,70.86,35.07,76.57,43.83
Starch-based Polymer,88.42,92.61,151.26,181.35,77.49,38.38,96.74,24.31
Poly(3-hydroxybutyrate) (PHB),59.24,53.38,147.44,210.32,84.6,74.22,75.78,93.46
Polyhydroxyvalerate (PHV),40.41,116.45,73.22,160.86,87.03,89.0,99.84,53.72
Recycled LDPE,51.22,91.26,70.2,187.35,69.44,91.42,61.39,93.66
Recycled HDPE,60.35,88.59,247.59,199.49,79.64,78.81,86.67,46.22
Hemp Fiber Composite,56.35,79.48,162.76,201.27,95.72,45.66,84.09,46.64
Recycled HDPE,49.84,25.24,207.57,219.82,98.87,45.26,94.15,57.82
Polybutylene Fumarate (PBF),51.48,118.81,103.95,221.4,63.29,91.93,58.43,40.13
Gelatin,22.4,86.71,213.27,221.13,61.66,39.7,67.03,81.43
Cellulose Acetate,78.73,125.37,184.76,241.75,84.64,78.65,60.25,94.98
Polybutylene Fumarate (PBF),54.74,77.15,97.28,209.18,72.2,68.28,96.94,67.76
Chitosan,18.38,95.39,183.66,224.11,53.65,60.66,73.74,49.37
Natural Fiber Composite,74.61,26.35,232.52,158.1,68.98,61.94,95.88,73.32
Nano-cellulose Composite,89.33,87.12,65.23,218.16,90.82,96.27,67.68,65.51
Starch-based Polymer,90.65,101.15,143.69,172.47,90.38,90.58,59.99,91.14
Cellulose Acetate,39.45,102.61,242.16,201.17,76.0,90.82,67.78,74.2
Recycled PP,18.78,101.73,208.03,215.51,74.95,59.65,81.55,58.48
Maleic Anhydride Grafted (MAG) Polymers,52.67,44.3,160.77,175.59,80.03,39.27,92.91,23.62
Polylactic Acid (PLA) Blends,16.75,123.4,31.39,199.15,62.92,99.85,71.85,36.15
Polybutylene Succinate (PBS),89.47,125.49,110.49,200.53,77.49,41.88,96.1,39.31
PHA (Polyhydroxyalkanoates),23.03,28.39,167.93,221.78,53.02,67.06,65.39,86.53
Polycaprolactone (PCL),29.16,119.29,111.27,243.6,75.09,49.99,85.96,83.94
PLA (Polylactic Acid),42.78,50.97,249.31,202.97,68.46,66.73,87.9,49.27
Recycled PET (rPET),40.7,93.19,192.05,152.05,84.56,52.74,66.75,80.65
Polyhydroxyvalerate (PHV),77.13,56.11,58.96,179.44,82.82,92.99,55.44,62.02
Poly(3-hydroxybutyrate) (PHB),47.18,122.6,130.24,156.25,70.59,97.85,70.93,90.24
Mycelium-based Material,21.9,31.13,105.23,176.63,52.85,59.88,56.27,84.45
Jute Fiber Composite,30.44,72.97,154.55,246.16,64.48,36.77,95.45,83.27
Recycled PET (rPET),51.85,65.61,119.94,223.99,82.58,77.11,97.87,37.67
Chitosan,19.83,54.83,70.91,213.34,55.94,57.61,87.88,73.97
Chitosan,60.93,88.57,185.23,249.62,57.61,99.05,87.48,26.35
Poly(3-hydroxybutyrate) (PHB),56.87,34.25,40.07,230.25,83.23,38.08,65.23,28.46
Cellulose Acetate,70.05,96.08,140.05,154.52,88.4,40.1,57.59,32.46
Polybutylene Succinate (PBS),89.79,123.95,87.89,242.43,67.77,79.56,90.94,34.61
Coconut Coir Composite,87.54,105.36,242.13,208.6,75.76,83.59,79.81,26.04
Polylactic Acid (PLA) Blends,90.54,111.22,86.34,205.94,97.42,64.03,85.42,83.08
Recycled PET (rPET),28.44,58.38,95.12,212.99,97.41,50.85,89.91,73.0
Natural Fiber Composite,18.43,54.71,181.17,159.39,67.11,53.07,72.95,91.25
Polybutylene Adipate Terephthalate (PBAT),33.54,75.01,45.19,227.82,90.97,54.98,60.82,92.12
Natural Fiber Composite,86.02,25.24,91.29,210.87,80.71,47.32,90.61,31.52
Jute Fiber Composite,92.84,120.23,178.54,171.98,98.84,89.84,74.98,77.78
Cellulose Acetate,82.86,35.59,22.23,182.3,75.19,36.43,92.07,36.75
Cork Composite,16.52,115.76,88.09,171.12,89.3,59.69,74.25,59.35
Gelatin,90.66,29.24,16.94,193.63,88.99,82.84,64.14,58.06
Polyhydroxyvalerate (PHV),44.26,107.27,50.3,232.54,76.13,32.26,62.03,66.79
Mycelium-based Material,7.6,36.46,156.99,241.88,90.29,91.71,88.27,23.31
Poly(3-hydroxybutyrate) (PHB),45.95,24.44,122.33,205.76,64.9,80.03,80.53,83.71
Polylactic Acid (PLA) Blends,10.86,96.38,51.67,221.93,58.31,36.99,72.73,32.85
Polycaprolactone (PCL),54.93,50.0,33.34,161.2,72.7,92.86,76.74,70.38
PHA (Polyhydroxyalkanoates),36.75,95.85,28.24,235.5,97.32,65.14,79.37,75.0
Starch-based Polymer,48.69,79.02,35.06,215.83,76.29,76.35,65.17,57.8
Polyhydroxyvalerate (PHV),61.06,31.9,37.58,215.28,82.67,91.98,71.52,67.41
Cork Composite,83.69,118.83,35.28,186.98,82.15,91.92,67.59,90.07
Polybutylene Succinate (PBS),65.38,68.17,27.94,182.22,58.8,59.79,71.99,36.29
Polyhydroxyvalerate (PHV),45.21,97.96,178.8,246.86,71.04,48.16,77.13,39.38
Polylactic Acid (PLA) Blends,79.32,73.31,236.2,193.22,86.08,49.5,62.14,59.4
Recycled PET (rPET),86.95,84.22,216.16,192.24,98.67,84.08,72.22,32.11
Blended Starch,17.38,52.38,77.48,231.2,60.48,95.2,71.86,89.27
Hemp Fiber Composite,53.87,41.57,63.01,245.91,72.0,36.91,67.3,51.73
Natural Fiber Composite,31.97,77.7,26.26,223.66,57.02,33.02,99.93,85.32
Polyhydroxyvalerate (PHV),10.95,66.89,51.67,195.81,64.01,87.96,57.57,55.89
Blended Starch,65.97,61.6,148.43,167.06,70.4,58.29,83.65,23.55
Gelatin,83.16,91.43,249.56,172.13,78.18,50.8,62.19,65.55
Chitosan,21.2,93.32,216.87,200.75,63.45,44.81,92.65,70.42
Recycled PP,78.7,25.26,136.01,163.13,63.31,55.56,96.07,35.33
Recycled PP,82.33,56.18,114.51,216.11,89.45,98.06,72.59,82.17
Polycaprolactone (PCL),87.73,63.89,49.74,220.63,98.23,98.44,91.92,79.28
Bagasse Fiber Composite,30.27,30.64,113.37,197.18,67.87,54.54,65.65,51.5
Recycled HDPE,86.81,45.32,154.79,208.48,85.18,97.53,60.62,43.54
Polybutylene Succinate (PBS),35.17,25.86,154.94,228.06,64.76,52.39,68.67,29.28
Polylactic Acid (PLA) Blends,55.68,125.6,146.02,220.33,96.58,90.1,69.85,69.29
Alginate,11.25,98.18,208.64,228.51,84.46,46.42,72.4,53.63
Recycled PP,10.66,29.64,134.87,210.18,90.63,88.2,71.28,29.46
Recycled PP,70.55,22.55,126.12,200.69,54.84,56.05,73.03,38.34
Recycled PET (rPET),46.13,96.36,86.86,217.22,80.93,45.31,86.72,84.88
Starch-based Polymer,29.47,66.78,57.36,216.37,77.56,95.57,65.45,79.91
Recycled LDPE,23.64,103.49,15.33,248.3,66.42,46.56,55.05,94.14
Maleic Anhydride Grafted (MAG) Polymers,66.09,117.92,90.69,158.03,64.97,99.44,76.63,74.78
Alginate,6.82,83.69,163.77,189.4,80.05,39.38,74.73,49.95
Polybutylene Fumarate (PBF),78.13,40.17,146.34,217.07,86.06,32.68,56.95,43.82
Seaweed/Kelp-based Polymer,13.8,103.0,139.67,154.24,54.08,91.21,60.33,54.96
Alginate,23.73,121.33,196.51,197.48,79.45,71.89,77.55,59.24
Natural Fiber Composite,40.97,81.68,69.72,248.36,60.6,60.67,64.95,61.28
Cork Composite,49.7,92.42,174.46,166.98,59.17,37.57,94.39,30.0
Coconut Coir Composite,38.21,56.04,157.68,179.07,82.1,71.09,62.14,35.27
Coconut Coir Composite,35.17,60.7,94.66,193.05,67.27,58.77,55.12,83.33
Recycled HDPE,92.12,97.98,66.36,181.15,73.44,64.89,74.7,38.47
Bagasse Fiber Composite,63.58,118.37,147.23,167.51,69.6,74.87,99.37,81.11
PLA (Polylactic Acid),8.85,86.82,237.11,191.41,83.3,75.52,83.23,41.29
Cellulose Acetate,44.86,103.81,32.94,185.5,74.83,97.32,70.41,76.05
Starch-based Polymer,84.24,38.53,238.95,247.63,98.26,76.54,54.97,27.26
Seaweed/Kelp-based Polymer,33.47,42.79,124.22,220.6,69.24,55.08,76.41,66.7
Polybutylene Adipate Terephthalate (PBAT),15.15,76.59,181.86,205.76,87.66,54.42,63.66,80.54
Paper-based Composite,73.92,39.05,203.75,184.44,64.72,64.45,83.87,53.67
Polybutylene Adipate Terephthalate (PBAT),60.43,87.46,50.61,236.18,76.67,49.63,80.9,66.96
Coconut Coir Composite,57.27,51.21,25.57,154.24,78.75,57.6,66.35,88.85
Maleic Anhydride Grafted (MAG) Polymers,11.52,103.99,45.2,171.63,68.13,89.26,57.35,91.69
Mycelium-based Material,19.22,105.74,95.12,213.65,74.91,90.46,88.78,78.87
Maleic Anhydride Grafted (MAG) Polymers,61.89,69.38,239.79,150.45,65.77,74.69,81.01,21.38
Jute Fiber Composite,25.18,39.5,25.05,213.33,52.79,71.63,92.77,44.17
Maleic Anhydride Grafted (MAG) Polymers,51.41,88.7,231.15,239.28,62.74,61.04,66.1,30.14
Maleic Anhydride Grafted (MAG) Polymers,55.02,125.24,146.9,183.09,85.75,75.24,84.1,83.36
Starch-based Polymer,31.88,86.15,39.05,248.61,89.12,86.81,59.64,53.16
Blended Starch,90.74,24.19,50.9,223.71,65.81,82.17,67.56,60.04
PHA (Polyhydroxyalkanoates),81.36,22.24,176.99,185.09,71.88,34.41,84.27,87.56
Hemp Fiber Composite,70.73,54.24,157.99,178.5,54.27,81.72,92.01,72.58
Coconut Coir Composite,13.68,41.08,54.35,224.9,63.76,80.96,68.9,33.7
Cellulose Acetate,16.18,106.26,227.52,153.8,89.51,38.73,90.79,23.4
Recycled HDPE,50.41,109.61,46.23,190.75,81.28,42.22,85.24,56.26
Bagasse Fiber Composite,21.01,47.72,135.22,207.2,62.27,85.58,70.17,76.15
Bagasse Fiber Composite,93.39,54.79,139.15,155.17,64.73,70.01,94.34,55.67
Hemp Fiber Composite,20.81,45.36,219.57,169.92,91.3,87.87,77.52,48.14
Nano-cellulose Composite,49.94,116.33,20.21,160.77,62.43,44.56,83.89,23.2
Natural Fiber Composite,39.02,73.48,47.07,238.14,68.37,34.08,76.9,27.26
PHA (Polyhydroxyalkanoates),63.38,89.69,55.11,230.72,84.06,43.01,74.93,45.84
Jute Fiber Composite,18.2,64.28,29.78,192.91,79.15,62.77,93.04,84.92
Coconut Coir Composite,44.88,87.04,163.4,176.09,74.39,67.58,67.7,46.39
Poly(3-hydroxybutyrate) (PHB),31.1,61.15,68.96,216.05,95.24,90.32,55.88,28.86
Thermoplastic Starch (TPS),85.37,56.28,150.52,202.61,62.94,80.7,94.49,71.64
Polyhydroxyvalerate (PHV),10.37,87.4,198.91,210.24,87.72,99.35,91.99,75.07
Polybutylene Fumarate (PBF),87.67,82.82,111.0,206.27,60.06,37.35,70.99,54.75
Polybutylene Succinate (PBS),80.52,51.4,195.68,206.88,81.75,40.86,62.69,32.88
Coconut Coir Composite,33.12,36.18,197.8,220.93,93.85,37.74,85.14,68.73
Gelatin,76.66,59.33,76.9,154.84,74.25,68.62,57.81,42.24
Bagasse Fiber Composite,9.54,64.25,18.7,176.09,86.9,50.15,73.61,58.45
Thermoplastic Starch (TPS),92.38,86.79,39.27,202.92,91.47,78.49,58.13,79.43
Starch-based Polymer,53.4,116.98,208.53,165.18,58.96,41.02,81.58,90.19
Alginate,33.63,24.23,110.25,165.38,86.03,39.02,55.45,44.89
Chitosan,38.88,46.14,212.19,150.44,96.19,63.29,83.02,50.28
Polybutylene Adipate Terephthalate (PBAT),12.66,40.86,143.67,249.6,79.88,57.56,85.03,69.21
Nano-cellulose Composite,94.37,73.45,61.39,207.28,61.34,88.38,76.51,38.67
Jute Fiber Composite,10.26,65.78,182.38,180.09,58.53,88.95,62.22,44.08
Blended Starch,64.76,97.39,146.17,191.94,64.84,39.99,58.84,91.8
Polybutylene Adipate Terephthalate (PBAT),45.98,46.01,97.67,178.02,57.42,87.24,68.55,89.95
Mycelium-based Material,90.79,83.18,35.61,222.49,76.89,70.36,75.51,28.12
Paper-based Composite,28.56,113.74,39.04,234.32,55.81,66.24,83.61,33.93
Gelatin,53.89,116.57,59.3,194.8,63.11,38.44,54.26,56.86
Gelatin,49.48,121.65,173.14,219.75,73.4,82.29,86.77,36.62
Seaweed/Kelp-based Polymer,69.0,102.06,186.07,170.68,75.01,36.06,86.84,30.97
Polylactic Acid (PLA) Blends,12.8,116.07,163.27,161.67,79.36,50.88,74.56,29.54
Polyhydroxyvalerate (PHV),23.94,45.17,94.26,196.13,86.02,38.49,69.93,84.2
Polyhydroxyvalerate (PHV),25.78,41.27,118.51,244.25,54.74,68.09,92.78,87.29
Paper-based Composite,72.13,21.1,181.75,240.34,56.33,75.88,90.13,20.17
Poly(3-hydroxybutyrate) (PHB),23.52,95.05,170.07,189.07,55.39,92.58,99.23,70.87
Recycled PET (rPET),57.55,119.4,196.66,207.25,72.6,81.9,71.23,42.18
Cork Composite,25.84,40.15,71.67,227.32,54.49,97.36,95.73,34.08
Seaweed/Kelp-based Polymer,83.06,87.66,16.05,221.55,87.94,83.74,58.2,36.81
PHA (Polyhydroxyalkanoates),90.19,99.23,77.61,200.87,63.09,52.27,73.05,88.94
Cellulose Acetate,52.68,118.36,96.75,230.22,97.11,69.24,75.51,24.49
Polybutylene Succinate (PBS),37.97,88.71,240.72,169.24,75.6,63.14,74.39,49.05
Mycelium-based Material,27.5,122.86,66.17,167.7,73.7,70.49,82.83,85.06
Starch-based Polymer,11.19,56.8,209.21,172.75,89.58,70.9,62.0,86.32
Polybutylene Fumarate (PBF),30.55,57.36,161.29,224.55,86.37,79.74,93.88,54.29
Mycelium-based Material,64.7,77.75,54.37,244.64,81.35,37.65,79.47,69.87
Recycled PP,54.02,60.9,109.82,235.12,96.92,82.78,95.61,36.79
Blended Starch,90.36,20.56,134.89,228.94,72.56,41.77,54.32,86.14
Maleic Anhydride Grafted (MAG) Polymers,41.86,97.68,95.88,195.28,90.91,33.78,83.05,61.65
Polycaprolactone (PCL),68.21,99.78,68.15,192.66,70.55,67.29,73.09,91.86
Recycled PP,50.1,99.28,74.42,249.92,92.32,71.54,77.33,64.67
Blended Starch,52.16,56.84,152.52,182.14,64.83,34.37,88.27,35.59
Polybutylene Succinate (PBS),30.49,75.56,176.7,207.74,66.24,67.05,64.6,46.62
Poly(3-hydroxybutyrate) (PHB),47.06,58.42,125.21,188.38,84.7,68.35,63.58,43.11
Coconut Coir Composite,48.46,22.1,236.31,189.91,62.6,35.57,86.4,61.63
Maleic Anhydride Grafted (MAG) Polymers,69.34,79.8,186.21,194.37,63.38,80.39,78.08,44.52
Seaweed/Kelp-based Polymer,90.05,33.48,224.56,225.34,67.0,46.3,64.9,67.38
Recycled PET (rPET),35.93,28.86,126.78,225.46,84.75,86.02,76.37,80.92
Cork Composite,10.52,100.18,18.5,161.58,94.75,53.14,75.25,63.25
Natural Fiber Composite,50.72,21.41,154.14,201.71,84.54,64.5,85.87,56.33
PLA (Polylactic Acid),54.98,121.67,207.29,227.09,91.82,92.65,54.32,35.11
Polybutylene Fumarate (PBF),21.69,74.82,141.09,152.7,78.32,86.82,81.07,78.57
Cellulose Acetate,74.1,124.21,148.46,197.75,55.77,85.17,81.94,26.0
Poly(3-hydroxybutyrate) (PHB),93.98,26.53,244.12,198.37,57.27,42.91,88.34,26.72
Paper-based Composite,90.51,82.02,101.04,227.75,78.83,35.27,94.93,82.9
Polycaprolactone (PCL),24.23,57.3,203.44,249.76,68.07,73.19,74.36,81.78
Thermoplastic Starch (TPS),84.28,109.47,133.69,202.65,62.98,59.93,69.89,62.87
Seaweed/Kelp-based Polymer,69.15,58.55,123.97,219.05,74.65,93.82,58.89,79.18
Starch-based Polymer,46.96,47.91,49.21,249.77,84.16,55.77,69.63,86.99
Paper-based Composite,54.64,110.96,190.87,209.53,70.79,59.92,57.34,61.89
Thermoplastic Starch (TPS),82.0,59.97,208.47,153.49,90.62,67.77,90.97,54.96
Chitosan,49.29,22.19,116.26,213.63,87.58,86.16,91.16,68.19
Coconut Coir Composite,39.82,61.62,194.43,174.16,87.41,50.24,73.31,94.1
Hemp Fiber Composite,50.45,89.52,151.56,220.73,99.3,96.04,66.09,58.82
Recycled PET (rPET),58.05,47.27,75.53,222.68,66.52,68.71,59.61,33.2
Polybutylene Fumarate (PBF),23.52,66.02,232.07,208.97,83.12,89.19,93.19,85.92
Nano-cellulose Composite,86.54,26.4,178.74,241.16,93.14,67.74,94.39,91.95
Hemp Fiber Composite,66.47,82.51,221.41,226.34,80.03,84.5,66.4,92.58
Poly(3-hydroxybutyrate) (PHB),62.84,100.27,81.14,238.94,90.0,35.5,82.68,77.83
Starch-based Polymer,15.59,64.05,230.35,222.13,72.19,86.35,66.05,26.7
Polybutylene Adipate Terephthalate (PBAT),60.27,64.78,100.7,209.13,80.55,67.63,64.51,21.15
Nano-cellulose Composite,17.49,29.73,17.24,150.42,55.14,62.56,55.17,81.43
Paper-based Composite,13.75,41.73,32.63,188.15,99.32,39.59,80.63,37.63
Chitosan,53.46,36.74,35.99,206.79,90.5,82.43,61.07,37.08
Polybutylene Succinate (PBS),42.44,71.27,63.68,191.95,93.77,40.92,54.77,63.85
Nano-cellulose Composite,58.91,76.29,58.83,201.77,85.48,45.08,59.0,21.83
Jute Fiber Composite,14.68,120.61,28.61,185.71,61.34,40.6,68.57,66.69
Maleic Anhydride Grafted (MAG) Polymers,44.93,28.14,225.42,204.47,53.97,32.45,84.85,82.48
Polylactic Acid (PLA) Blends,22.25,83.75,209.65,200.27,93.57,77.01,63.48,90.63
Recycled PET (rPET),94.17,76.0,194.26,174.72,71.33,50.42,94.85,84.12
Maleic Anhydride Grafted (MAG) Polymers,56.46,74.92,127.6,185.59,65.03,42.16,67.41,89.14
Polyhydroxyvalerate (PHV),67.64,112.61,114.91,181.27,79.18,53.76,69.37,25.87
Cellulose Acetate,35.59,42.11,114.96,231.69,72.49,65.94,64.18,49.08
Alginate,15.17,24.72,76.52,159.92,83.45,66.23,65.82,65.56
Polylactic Acid (PLA) Blends,93.17,91.4,157.94,162.25,75.48,56.97,57.6,34.51
Mycelium-based Material,32.12,56.86,28.88,230.69,85.62,65.66,67.7,68.27
Polybutylene Succinate (PBS),44.3,22.27,169.81,189.06,93.04,61.06,93.57,30.59
Natural Fiber Composite,64.31,46.95,135.76,184.51,61.79,87.94,85.73,91.71
Polyhydroxyvalerate (PHV),8.97,53.07,206.88,201.01,68.15,34.01,94.29,76.42
Coconut Coir Composite,78.51,85.54,243.59,186.89,73.25,91.03,59.0,49.05
Cellulose Acetate,54.28,38.63,221.0,161.29,98.2,48.59,75.07,32.83
Nano-cellulose Composite,31.41,64.02,184.18,168.99,69.85,81.08,64.7,49.93
Cork Composite,12.23,71.35,116.7,186.98,70.6,59.54,87.23,29.77
Natural Fiber Composite,21.17,68.9,65.41,240.18,83.54,52.01,98.64,68.37
Polylactic Acid (PLA) Blends,86.02,123.25,171.25,194.44,72.41,73.84,91.54,41.88
Recycled PP,67.51,25.21,62.38,234.5,97.68,84.28,55.82,89.2
Natural Fiber Composite,28.9,120.82,19.76,184.84,94.99,62.6,68.7,67.96
Polylactic Acid (PLA) Blends,12.59,81.86,149.71,206.93,76.89,63.73,55.51,70.57
Recycled PET (rPET),67.92,104.43,107.62,168.56,83.13,36.0,56.04,60.48
Coconut Coir Composite,57.46,65.86,220.86,166.41,55.26,94.83,57.84,41.1
Recycled LDPE,42.59,68.33,166.76,189.93,85.55,89.59,66.86,20.95
Coconut Coir Composite,38.97,113.26,167.1,228.68,86.09,59.06,68.13,23.78
Recycled HDPE,25.97,115.01,200.15,201.06,69.56,84.02,72.54,82.59
Hemp Fiber Composite,66.06,45.61,93.88,180.6,62.93,53.3,72.75,67.76
Nano-cellulose Composite,92.71,41.45,240.17,198.67,95.97,81.67,89.53,32.44
Recycled PET (rPET),22.34,72.81,67.01,187.29,72.77,67.14,60.68,69.34
Nano-cellulose Composite,59.64,115.47,219.84,150.17,83.55,63.33,61.42,93.23
Recycled LDPE,44.33,54.45,229.05,164.59,54.08,35.84,82.9,37.02
Cork Composite,46.33,89.26,24.17,156.57,72.17,97.65,80.39,37.82
Paper-based Composite,29.28,95.18,163.48,192.73,91.32,88.94,61.25,70.82
Gelatin,79.83,102.63,191.11,195.26,70.91,85.95,93.23,77.34
PHA (Polyhydroxyalkanoates),49.74,79.95,239.15,166.03,81.15,52.73,69.27,42.73
Polybutylene Adipate Terephthalate (PBAT),54.89,62.91,74.07,179.24,62.47,51.69,71.01,80.91
Coconut Coir Composite,33.76,122.52,147.03,247.85,72.28,70.98,73.46,65.51
Paper-based Composite,22.88,84.96,196.68,151.29,96.56,89.54,68.98,25.63
Coconut Coir Composite,14.39,97.34,49.86,189.81,79.41,95.55,79.73,23.74
Coconut Coir Composite,70.0,56.84,215.45,241.04,95.34,50.29,72.0,59.42
Bagasse Fiber Composite,24.15,91.15,109.85,207.84,95.35,73.3,66.08,90.86
Recycled HDPE,67.87,47.63,165.34,170.39,97.35,81.23,95.62,29.45
Recycled PP,41.34,46.29,24.88,243.55,95.03,47.39,68.32,25.32
Cork Composite,43.59,95.88,67.39,200.86,52.66,59.71,86.19,43.71
Polybutylene Adipate Terephthalate (PBAT),48.32,75.46,127.37,189.21,96.87,44.75,70.1,83.79
Recycled PP,39.33,92.56,82.96,232.45,59.03,79.53,74.13,34.78
Paper-based Composite,15.69,48.86,240.09,211.44,54.4,90.74,65.01,34.47
Polybutylene Adipate Terephthalate (PBAT),34.19,83.63,201.81,223.86,55.13,91.67,88.66,53.04
Blended Starch,65.54,67.28,218.25,160.42,69.07,77.57,87.96,94.43
Polybutylene Fumarate (PBF),65.72,83.44,124.58,213.26,81.99,55.61,55.22,49.16
Coconut Coir Composite,32.12,51.12,126.31,175.25,71.61,76.95,56.96,71.44
Maleic Anhydride Grafted (MAG) Polymers,47.51,95.95,204.22,173.04,53.71,90.77,96.44,43.02
Cellulose Acetate,23.91,105.51,106.07,199.58,75.13,74.56,94.91,35.74
Cellulose Acetate,25.4,47.85,128.0,230.52,73.5,60.08,77.38,80.91
Mycelium-based Material,8.82,52.15,139.22,217.0,88.45,94.55,76.8,78.65
Hemp Fiber Composite,86.17,90.22,157.68,214.59,65.78,88.79,91.41,33.61
Recycled LDPE,25.43,93.86,167.74,201.24,62.83,92.01,60.54,45.22
Recycled PET (rPET),26.92,94.76,174.98,176.06,64.66,93.42,84.14,36.8
Recycled HDPE,31.53,92.5,119.34,239.51,66.93,58.78,76.0,65.92
Polylactic Acid (PLA) Blends,18.06,61.89,84.36,245.65,80.96,90.46,88.24,44.66
Recycled PP,63.37,62.1,231.24,230.02,74.9,70.78,55.58,64.54
Chitosan,13.43,47.32,209.28,174.11,68.5,34.59,81.35,31.5
Mycelium-based Material,18.66,36.97,15.81,201.87,70.28,75.24,79.7,38.59
Nano-cellulose Composite,63.86,93.54,135.54,159.39,70.12,64.0,92.71,20.16
Seaweed/Kelp-based Polymer,36.85,30.25,79.53,171.41,98.69,50.71,85.2,73.1
PLA (Polylactic Acid),69.45,119.43,166.04,241.81,63.57,97.99,94.51,94.11
Hemp Fiber Composite,56.13,107.7,133.12,159.16,91.36,35.74,94.84,67.52
Cellulose Acetate,29.45,110.95,19.97,241.98,86.14,96.32,72.89,46.9
Poly(3-hydroxybutyrate) (PHB),64.4,116.15,186.03,151.55,52.76,42.83,60.49,84.78
Recycled PP,17.07,63.55,79.72,231.67,99.68,57.64,83.07,30.58
Cork Composite,54.27,109.81,76.16,166.01,88.43,60.37,94.22,69.86
Mycelium-based Material,45.48,37.1,22.5,249.57,84.92,81.71,57.63,20.73
PHA (Polyhydroxyalkanoates),30.49,22.7,209.66,227.95,71.75,46.66,79.75,66.63
Polybutylene Adipate Terephthalate (PBAT),60.25,103.29,151.03,241.57,78.87,99.05,59.47,60.79
